Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS05_Order_Management,Chrome 131.0.0.0,,,19-12-2024 00:32:55,19-12-2024 00:34:24,1m - 29.466s,PASSED
,,,,,,,
Test Cases/TC14_View_Wish_List,Chrome 131.0.0.0,,,19-12-2024 00:32:55,19-12-2024 00:33:31,36.546s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,19-12-2024 00:32:55,19-12-2024 00:32:57,1.932s,PASSED
"navigateToUrl(""https://homzmart.com/en"")",Chrome 131.0.0.0,,,19-12-2024 00:32:57,19-12-2024 00:32:59,2.190s,PASSED
"click(findTestObject(""Object Repository/Page_Buy Furniture and Home decor Online , _0aaba7/p_My Account""))",Chrome 131.0.0.0,,,19-12-2024 00:32:59,19-12-2024 00:33:03,3.699s,PASSED
"click(findTestObject(""Object Repository/Page_Buy Furniture and Home decor Online , _0aaba7/button_Sign in""))",Chrome 131.0.0.0,,,19-12-2024 00:33:03,19-12-2024 00:33:04,1.046s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Enter your phone number or email_outl_281146""), ""qota3er5b@gmail.com"")",Chrome 131.0.0.0,,,19-12-2024 00:33:04,19-12-2024 00:33:20,15.746s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Continue""))",Chrome 131.0.0.0,,,19-12-2024 00:33:20,19-12-2024 00:33:20,0.329s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_/input_Enter your password_outlined-basic""), ""6KJkoHE/sDrMzjnwUVj344BcLI/3x6TS"")",Chrome 131.0.0.0,,,19-12-2024 00:33:20,19-12-2024 00:33:21,1.493s,PASSED
"click(findTestObject(""Object Repository/Page_/svg_Login_MuiSvgIcon-root MuiSvgIcon-fontSi_579575""))",Chrome 131.0.0.0,,,19-12-2024 00:33:21,19-12-2024 00:33:23,1.305s,PASSED
"click(findTestObject(""Object Repository/Page_/div_Skip""))",Chrome 131.0.0.0,,,19-12-2024 00:33:23,19-12-2024 00:33:25,2.401s,PASSED
"click(findTestObject(""Object Repository/Page_Buy Furniture and Home decor Online , _0aaba7/div_Hi, FirstName.My Account""))",Chrome 131.0.0.0,,,19-12-2024 00:33:25,19-12-2024 00:33:31,5.596s,PASSED
"click(findTestObject(""Object Repository/Page_Buy Furniture and Home decor Online , _0aaba7/p_Wishlist""))",Chrome 131.0.0.0,,,19-12-2024 00:33:31,19-12-2024 00:33:31,0.614s,PASSED
,,,,,,,
Test Cases/TC13_View_My_Orders,Chrome 131.0.0.0,,,19-12-2024 00:33:31,19-12-2024 00:34:24,52.741s,PASSED
"openBrowser("""")",Chrome 131.0.0.0,,,19-12-2024 00:33:31,19-12-2024 00:33:33,1.196s,PASSED
"navigateToUrl(""https://homzmart.com/en"")",Chrome 131.0.0.0,,,19-12-2024 00:33:33,19-12-2024 00:33:34,1.841s,PASSED
"click(findTestObject(""Object Repository/Page_Buy Furniture and Home decor Online , _0aaba7/p_My Account""))",Chrome 131.0.0.0,,,19-12-2024 00:33:34,19-12-2024 00:33:43,8.993s,PASSED
"click(findTestObject(""Object Repository/Page_Buy Furniture and Home decor Online , _0aaba7/button_Sign in""))",Chrome 131.0.0.0,,,19-12-2024 00:33:43,19-12-2024 00:33:44,0.915s,PASSED
"setText(findTestObject(""Object Repository/Page_/input_Enter your phone number or email_outl_281146""), ""test777@gmail.com"")",Chrome 131.0.0.0,,,19-12-2024 00:33:44,19-12-2024 00:33:58,13.656s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Continue""))",Chrome 131.0.0.0,,,19-12-2024 00:33:58,19-12-2024 00:33:58,0.311s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_/input_Enter your password_outlined-basic""), ""aP/zuRNtJbw="")",Chrome 131.0.0.0,,,19-12-2024 00:33:58,19-12-2024 00:34:11,12.599s,PASSED
"click(findTestObject(""Object Repository/Page_/button_Login""))",Chrome 131.0.0.0,,,19-12-2024 00:34:11,19-12-2024 00:34:11,0.308s,PASSED
"click(findTestObject(""Object Repository/Page_/div_Skip""))",Chrome 131.0.0.0,,,19-12-2024 00:34:11,19-12-2024 00:34:13,1.775s,PASSED
"click(findTestObject(""Object Repository/Page_Buy Furniture and Home decor Online , _0aaba7/div_Hi, testMy Account""))",Chrome 131.0.0.0,,,19-12-2024 00:34:13,19-12-2024 00:34:20,6.662s,PASSED
"click(findTestObject(""Object Repository/Page_Buy Furniture and Home decor Online , _0aaba7/p_My Orders""))",Chrome 131.0.0.0,,,19-12-2024 00:34:20,19-12-2024 00:34:24,4.419s,PASSED
